HOME FOR RENT (T18),Sophon Sakdaphisit,112 minute,Horror,1/7/2023,The film tells the story of a couple Ning, Kwin and their 7-year-old daughter named Ing. Because of financial difficulties, the couple decided to rent out their house and move to a cheap apartment to live. After the tenants moved in, Ning noticed that her husband began to behave abnormally. He becomes secretive and often disappears from the apartment and at 4 a.m. Kwin even has a strange tattoo on his chest that looks like a special symbol of a mysterious cult. As her husband's behavior becomes increasingly worrisome, Ning realizes her daughter is in danger. What secret is hiding in their rental house? T18 - MOVIES ARE POPULAR TO VIEWERS 18+ years old (18+)
HOME FOR RENT (T18),Sophon Sakdaphisit,113 minute,Horror,1/8/2023,The film tells the story of a couple Ning, Kwin and their 7-year-old daughter named Ing. Because of financial difficulties, the couple decided to rent out their house and move to a cheap apartment to live. After the tenants moved in, Ning noticed that her husband began to behave abnormally. He becomes secretive and often disappears from the apartment and at 4 a.m. Kwin even has a strange tattoo on his chest that looks like a special symbol of a mysterious cult. As her husband's behavior becomes increasingly worrisome, Ning realizes her daughter is in danger. What secret is hiding in their rental house? T18 - MOVIES ARE POPULAR TO VIEWERS 18+ years old (18+)
HOME FOR RENT (T18),Sophon Sakdaphisit,114 minute,Horror,1/9/2023,The film tells the story of a couple Ning, Kwin and their 7-year-old daughter named Ing. Because of financial difficulties, the couple decided to rent out their house and move to a cheap apartment to live. After the tenants moved in, Ning noticed that her husband began to behave abnormally. He becomes secretive and often disappears from the apartment and at 4 a.m. Kwin even has a strange tattoo on his chest that looks like a special symbol of a mysterious cult. As her husband's behavior becomes increasingly worrisome, Ning realizes her daughter is in danger. What secret is hiding in their rental house? T18 - MOVIES ARE POPULAR TO VIEWERS 18+ years old (18+)
HOME FOR RENT (T18),Sophon Sakdaphisit,115 minute,Horror,1/10/2023,The film tells the story of a couple Ning, Kwin and their 7-year-old daughter named Ing. Because of financial difficulties, the couple decided to rent out their house and move to a cheap apartment to live. After the tenants moved in, Ning noticed that her husband began to behave abnormally. He becomes secretive and often disappears from the apartment and at 4 a.m. Kwin even has a strange tattoo on his chest that looks like a special symbol of a mysterious cult. As her husband's behavior becomes increasingly worrisome, Ning realizes her daughter is in danger. What secret is hiding in their rental house? T18 - MOVIES ARE POPULAR TO VIEWERS 18+ years old (18+)
HOME FOR RENT (T18),Sophon Sakdaphisit,116 minute,Horror,1/11/2023,The film tells the story of a couple Ning, Kwin and their 7-year-old daughter named Ing. Because of financial difficulties, the couple decided to rent out their house and move to a cheap apartment to live. After the tenants moved in, Ning noticed that her husband began to behave abnormally. He becomes secretive and often disappears from the apartment and at 4 a.m. Kwin even has a strange tattoo on his chest that looks like a special symbol of a mysterious cult. As her husband's behavior becomes increasingly worrisome, Ning realizes her daughter is in danger. What secret is hiding in their rental house? T18 - MOVIES ARE POPULAR TO VIEWERS 18+ years old (18+)
HOME FOR RENT (T18),Sophon Sakdaphisit,117 minute,Horror,1/12/2023,The film tells the story of a couple Ning, Kwin and their 7-year-old daughter named Ing. Because of financial difficulties, the couple decided to rent out their house and move to a cheap apartment to live. After the tenants moved in, Ning noticed that her husband began to behave abnormally. He becomes secretive and often disappears from the apartment and at 4 a.m. Kwin even has a strange tattoo on his chest that looks like a special symbol of a mysterious cult. As her husband's behavior becomes increasingly worrisome, Ning realizes her daughter is in danger. What secret is hiding in their rental house? T18 - MOVIES ARE POPULAR TO VIEWERS 18+ years old (18+)
HOME FOR RENT (T18),Sophon Sakdaphisit,118 minute,Horror,1/13/2023,The film tells the story of a couple Ning, Kwin and their 7-year-old daughter named Ing. Because of financial difficulties, the couple decided to rent out their house and move to a cheap apartment to live. After the tenants moved in, Ning noticed that her husband began to behave abnormally. He becomes secretive and often disappears from the apartment and at 4 a.m. Kwin even has a strange tattoo on his chest that looks like a special symbol of a mysterious cult. As her husband's behavior becomes increasingly worrisome, Ning realizes her daughter is in danger. What secret is hiding in their rental house? T18 - MOVIES ARE POPULAR TO VIEWERS 18+ years old (18+)
HOME FOR RENT (T18),Sophon Sakdaphisit,119 minute,Horror,1/14/2023,The film tells the story of a couple Ning, Kwin and their 7-year-old daughter named Ing. Because of financial difficulties, the couple decided to rent out their house and move to a cheap apartment to live. After the tenants moved in, Ning noticed that her husband began to behave abnormally. He becomes secretive and often disappears from the apartment and at 4 a.m. Kwin even has a strange tattoo on his chest that looks like a special symbol of a mysterious cult. As her husband's behavior becomes increasingly worrisome, Ning realizes her daughter is in danger. What secret is hiding in their rental house? T18 - MOVIES ARE POPULAR TO VIEWERS 18+ years old (18+)
HOME FOR RENT (T18),Sophon Sakdaphisit,120 minute,Horror,1/15/2023,The film tells the story of a couple Ning, Kwin and their 7-year-old daughter named Ing. Because of financial difficulties, the couple decided to rent out their house and move to a cheap apartment to live. After the tenants moved in, Ning noticed that her husband began to behave abnormally. He becomes secretive and often disappears from the apartment and at 4 a.m. Kwin even has a strange tattoo on his chest that looks like a special symbol of a mysterious cult. As her husband's behavior becomes increasingly worrisome, Ning realizes her daughter is in danger. What secret is hiding in their rental house? T18 - MOVIES ARE POPULAR TO VIEWERS 18+ years old (18+)
HOME FOR RENT (T18),Sophon Sakdaphisit,121 minute,Horror,1/16/2023,The film tells the story of a couple Ning, Kwin and their 7-year-old daughter named Ing. Because of financial difficulties, the couple decided to rent out their house and move to a cheap apartment to live. After the tenants moved in, Ning noticed that her husband began to behave abnormally. He becomes secretive and often disappears from the apartment and at 4 a.m. Kwin even has a strange tattoo on his chest that looks like a special symbol of a mysterious cult. As her husband's behavior becomes increasingly worrisome, Ning realizes her daughter is in danger. What secret is hiding in their rental house? T18 - MOVIES ARE POPULAR TO VIEWERS 18+ years old (18+)
HOME FOR RENT (T18),Sophon Sakdaphisit,122 minute,Horror,1/17/2023,The film tells the story of a couple Ning, Kwin and their 7-year-old daughter named Ing. Because of financial difficulties, the couple decided to rent out their house and move to a cheap apartment to live. After the tenants moved in, Ning noticed that her husband began to behave abnormally. He becomes secretive and often disappears from the apartment and at 4 a.m. Kwin even has a strange tattoo on his chest that looks like a special symbol of a mysterious cult. As her husband's behavior becomes increasingly worrisome, Ning realizes her daughter is in danger. What secret is hiding in their rental house? T18 - MOVIES ARE POPULAR TO VIEWERS 18+ years old (18+)
HOME FOR RENT (T18),Sophon Sakdaphisit,123 minute,Horror,1/18/2023,The film tells the story of a couple Ning, Kwin and their 7-year-old daughter named Ing. Because of financial difficulties, the couple decided to rent out their house and move to a cheap apartment to live. After the tenants moved in, Ning noticed that her husband began to behave abnormally. He becomes secretive and often disappears from the apartment and at 4 a.m. Kwin even has a strange tattoo on his chest that looks like a special symbol of a mysterious cult. As her husband's behavior becomes increasingly worrisome, Ning realizes her daughter is in danger. What secret is hiding in their rental house? T18 - MOVIES ARE POPULAR TO VIEWERS 18+ years old (18+)
